title,rankings,url,ratings,price
Ikigai: The Japanese secret to a long and happy life,#1,https://www.amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X?_encoding=UTF8&psc=1,4.6 out of 5 stars,₹ 317.00
My First Library: Boxset of 10 Board Books for Kids,#2,https://www.amazon.in/My-First-Library-Boxset-Board/dp/9387779262?_encoding=UTF8&psc=1,4.5 out of 5 stars,₹ 425.00
Attitude Is Everything: Change Your Attitude ... Change Your Life!,#3,https://www.amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071?_encoding=UTF8&psc=1,4.5 out of 5 stars,₹ 158.00
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,#4,https://www.amazon.in/Worlds-Greatest-Personal-Growth-Wealth/dp/9389432014?_encoding=UTF8&psc=1,4.5 out of 5 stars,₹ 319.00
The Alchemist,#5,https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988?_encoding=UTF8&psc=1,4.6 out of 5 stars,₹ 175.00
Quantitative Aptitude for Competitive Examinations,#6,https://www.amazon.in/Quantitative-Aptitude-Competitive-Examinations-Aggarwal/dp/9352534026?_encoding=UTF8&psc=1,4.4 out of 5 stars,₹ 460.00
General Knowledge,#7,https://www.amazon.in/General-Knowledge-Dr-Binay-Karna/dp/9384761540?_encoding=UTF8&psc=1,4.4 out of 5 stars,₹ 169.00
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,#8,https://www.amazon.in/Rich-Dad-Poor-Middle-Updates/dp/1612680194?_encoding=UTF8&psc=1,4.6 out of 5 stars,₹ 367.00
Word Power Made Easy,#9,https://www.amazon.in/Word-Power-Made-Norman-Lewis/dp/8183071007?_encoding=UTF8&psc=1,4.4 out of 5 stars,₹ 143.00
The Psychology of Money,#10,https://www.amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268?_encoding=UTF8&psc=1,4.5 out of 5 stars,₹ 330.00
Think Like a Monk: The secret of how to harness the power of positivity and be happy now,#11,https://www.amazon.in/Think-Like-Monk-Jay-Shetty/dp/0008386595?_encoding=UTF8&psc=1,4.7 out of 5 stars,₹ 359.00
Indian Polity - For Civil Services and Other State Examinations | 6th Edition,#12,https://www.amazon.in/Indian-Polity-Civil-Services-Examinations/dp/B07Y3CJJCR?_encoding=UTF8&psc=1,4.6 out of 5 stars,₹ 709.00
Grandma's Bag of Stories,#13,https://www.amazon.in/Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623?_encoding=UTF8&psc=1,4.6 out of 5 stars,₹ 189.00
One Arranged Murder,#14,https://www.amazon.in/One-Arranged-Murder-Chetan-Bhagat/dp/1542094135?_encoding=UTF8&psc=1,4.2 out of 5 stars,₹ 137.00
Manorama English Yearbook 2021,#15,https://www.amazon.in/Manorama-English-Yearbook-Mammen-Mathew/dp/9389649587?_encoding=UTF8&psc=1,4.5 out of 5 stars,₹ 240.00
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,#16,https://www.amazon.in/Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295?_encoding=UTF8&psc=1,4.6 out of 5 stars,₹ 189.00
Atomic Habits: The life-changing million copy bestseller,#17,https://www.amazon.in/Atomic-Habits-James-Clear/dp/1847941834?_encoding=UTF8&psc=1,4.6 out of 5 stars,₹ 525.00
26 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2020) 11th Edition,#18,https://www.amazon.in/Years-Prelims-Topic-wise-Solved-Papers/dp/8194815010?_encoding=UTF8&psc=1,4.4 out of 5 stars,₹ 403.00
The Power of Your Subconscious Mind,#19,https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666?_encoding=UTF8&psc=1,4.5 out of 5 stars,₹ 159.00
My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing),#20,https://www.amazon.in/First-Book-Patterns-Pencil-Control/dp/9387779319?_encoding=UTF8&psc=1,4.5 out of 5 stars,₹ 89.00
A Modern Approach to Verbal & Non-Verbal Reasoning (2 Colour Edition),#21,https://www.amazon.in/Modern-Approach-Verbal-Non-Verbal-Reasoning/dp/9352832167?_encoding=UTF8&psc=1,4.4 out of 5 stars,₹ 549.00
Very First Sight Words Sentences Level - 1,#22,https://www.amazon.in/First-Sight-Words-Sentences-Level/dp/9387971996?_encoding=UTF8&psc=1,4.6 out of 5 stars,₹ 126.00
Oxford Student Atlas for India - Third Edition,#23,https://www.amazon.in/Oxford-Student-Atlas-India-Third/dp/0190123281?_encoding=UTF8&psc=1,4.6 out of 5 stars,₹ 232.00
The Intelligent Investor (English) Paperback – 2013,#24,https://www.amazon.in/Intelligent-Investor-English-Paperback-2013/dp/0062312685?_encoding=UTF8&psc=1,4.4 out of 5 stars,₹ 600.00
Objective General English,#25,https://www.amazon.in/Objective-General-English-S-P-Bakshi/dp/9351768449?_encoding=UTF8&psc=1,4.3 out of 5 stars,₹ 210.00
"The 5 AM Club: Own Your Morning, Elevate Your Life",#26,https://www.amazon.in/AM-Club-Your-Morning-Elevate/dp/9387944891?_encoding=UTF8&psc=1,4.4 out of 5 stars,₹ 222.00
A Brief History of Modern India (2019-2020 Edition) by Spectrum Books,#27,https://www.amazon.in/Brief-History-Modern-2019-2020-Spectrum/dp/8179307212?_encoding=UTF8&psc=1,4.5 out of 5 stars,₹ 219.00
Death; An Inside Story: A book for all those who shall die,#28,https://www.amazon.in/Death-Inside-Story-those-shall/dp/0143450832?_encoding=UTF8&psc=1,4.7 out of 5 stars,₹ 211.00
Think and Grow Rich,#29,https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/8192910911?_encoding=UTF8&psc=1,4.5 out of 5 stars,₹ 160.00
